X	node	branch.length	label	isTip	x	y	branch	angle	x10	status	generalization	broader_gen	specific_species	X.1	lib	V2	status_count
2145	1029	0.053774437	SRR25664442Score_559.533_	TRUE	4.67101936	82	4.644132141	26.59459459	Accipiter_madagascariensis_associated	novel	Avian	Avian	Accipiter_madagascariensis_associated	Accipiter_madagascariensis_associated	SRR25664442	Other	TRUE
2145	1028	0.088750881	SRR18767723_150562_	TRUE	4.705995803	81	4.661620363	26.27027027	Accipiter_nisus_associated	novel	Avian	Avian	Accipiter_nisus_associated	Accipiter_nisus_associated	SRR18767723	GENOMIC	TRUE
2142	1026	1.03e-06	SRR25662783Score_530.687_	TRUE	5.040083131	88	5.040082618	28.54054054	Aquila_gurneyi_associated	novel	Avian	Avian	Aquila_gurneyi_associated	Aquila_gurneyi_associated	SRR25662783	Other	TRUE
2147	1031	0.083516169	SRR19431669_13553_	TRUE	4.637895618	85	4.596137533	27.56756757	Dendrortyx_leucophrys_associated	novel	Avian	Avian	Dendrortyx_leucophrys_associated	Dendrortyx_leucophrys_associated	SRR19431669	GENOMIC	TRUE
2142	1025	1.03e-06	SRR25648973_196396_	TRUE	5.040083131	87	5.040082618	28.21621622	Falco_sparverius_associated	novel	Avian	Avian	Falco_sparverius_associated	Falco_sparverius_associated	SRR25648973	Other	TRUE
2144	1027	0.177726774	SRR13719170Score_558.191_	TRUE	4.658932057	80	4.57006867	25.94594595	Falco_striatus_associated	novel	Avian	Avian	Falco_striatus_associated	Falco_striatus_associated	SRR13719170	GENOMIC	TRUE
2141	1024	0.420586632	SRR7530174_17519_	TRUE	5.075591628	86	4.865298312	27.89189189	Nipponia_nippon_associated	novel	Avian	Avian	Nipponia_nippon_associated	Nipponia_nippon_associated	SRR7530174	GENOMIC	TRUE
2149	1038	0.425042789	SRR12566196_734_	TRUE	4.677217582	74	4.464696188	24	Thamnophilus_doliatus_associated	novel	Avian	Avian	Thamnophilus_doliatus_associated	Thamnophilus_doliatus_associated	SRR12566196	GENOMIC	TRUE
1906	781	0.251802606	SRR12232778_17800_	TRUE	5.641550491	396	5.515649188	128.4324324	Chalinolobus_gouldii_associated	novel	Bat	Bat	Chalinolobus_gouldii_associated	Chalinolobus_gouldii_associated	SRR12232778	Other	TRUE
1938	814	0.571883312	SRR14860617_1712913_	TRUE	5.797955592	310	5.512013936	100.5405405	Desmodus_rotundus_associated	novel	Bat	Bat	Desmodus_rotundus_associated	Desmodus_rotundus_associated	SRR14860617	METAGENOMIC	TRUE
2012	901	0.498051656	ERR2756792_1679_	TRUE	5.000144292	189	4.751118464	61.2972973	Desmodus_rotundus_associated	novel	Bat	Bat	Desmodus_rotundus_associated	Desmodus_rotundus_associated	ERR2756792	METAGENOMIC	TRUE
